addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
A392,5,secondary,9483,5,9483,5,1,0x04,table_run
A3A8,5,secondary,9483,5,9483,5,1,0x04,table_run
A3FB,5,secondary,9483,5,9483,5,1,0x04,table_run
A403,5,secondary,9483,5,9483,5,1,0x04,table_run
A408,5,secondary,9483,5,9483,5,1,0x04,table_run
A4C8,5,secondary,9483,5,9483,5,1,0x04,table_run
A5E4,5,secondary,9483,5,9483,5,1,0x04,table_run
A6A0,5,secondary,99A0,5,99A0,5,1,0x04,table_run
A733,5,secondary,99A0,5,99A0,5,1,0x04,table_run
A85B,5,secondary,99A0,5,99A0,5,1,0x04,table_run
A873,5,secondary,99A0,5,99A0,5,1,0x04,table_run
A8F6,5,secondary,99A0,5,99A0,5,1,0x04,table_run
A90A,5,secondary,99A0,5,99A0,5,1,0x04,table_run
9C92,5,secondary,9483,5,9483,5,1,0x04,table_run
A9C2,5,secondary,99A0,5,99A0,5,1,0x04,table_run
AA02,5,secondary,99A0,5,99A0,5,1,0x04,table_run
AA19,5,secondary,99A0,5,99A0,5,1,0x04,table_run
AA52,5,secondary,99A0,5,99A0,5,1,0x04,table_run
AABD,5,secondary,99A0,5,99A0,5,1,0x04,table_run
ABD3,5,standalone,ABD3,5,ABD3,5,1,0x04,table_run
AC59,5,standalone,AC59,5,AC59,5,1,0x04,table_run
AD04,5,standalone,AD04,5,AD04,5,1,0x04,table_run
AD59,5,standalone,AD59,5,AD59,5,1,0x04,table_run
AE05,5,standalone,AE05,5,AE05,5,1,0x04,table_run
AFD3,5,standalone,AFD3,5,AFD3,5,1,0x04,table_run
AFF7,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
9014,5,secondary,8FC2,5,8FC2,5,1,0x04,table_run
9673,5,secondary,9483,5,9483,5,1,0x04,table_run
9681,5,secondary,9483,5,9483,5,1,0x04,table_run
96A6,5,secondary,9483,5,9483,5,1,0x04,table_run
96C0,5,secondary,9483,5,9483,5,1,0x04,table_run
96EA,5,secondary,9483,5,9483,5,1,0x04,table_run
96F4,5,secondary,9483,5,9483,5,1,0x04,table_run
9708,5,secondary,9483,5,9483,5,1,0x04,table_run
9764,5,secondary,9483,5,9483,5,1,0x04,table_run
AFF8,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B0A9,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B188,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B362,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B4A0,5,secondary,B489,5,B489,5,1,0x04,table_run
B659,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B892,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
BA48,5,standalone,BA48,5,AFF1,5,2,0x05,control|table_run
BBDB,5,standalone,BBDB,5,BBDB,5,1,0x04,table_run
BD2E,5,secondary,BCC4,5,BCC4,5,1,0x04,table_run
BE2C,5,standalone,BE2C,5,BE2C,5,1,0x04,table_run
BEC8,5,secondary,BCC4,5,BCC4,5,1,0x04,table_run
BFC9,5,secondary,BCC4,5,BCC4,5,1,0x04,table_run
93E5,5,secondary,8594,5,8594,5,1,0x04,table_run
93F2,5,secondary,8594,5,8594,5,1,0x04,table_run
93FF,5,secondary,8594,5,8594,5,1,0x04,table_run
93B1,5,secondary,8594,5,8594,5,1,0x04,table_run
9432,5,secondary,8594,5,8594,5,1,0x04,table_run
9475,5,secondary,8594,5,8594,5,1,0x04,table_run
93C5,5,secondary,8594,5,8594,5,1,0x04,table_run
93D9,5,secondary,8594,5,8594,5,1,0x04,table_run
9540,5,secondary,8594,5,8594,5,1,0x04,table_run
954F,5,secondary,8594,5,8594,5,1,0x04,table_run
9578,5,secondary,8594,5,8594,5,1,0x04,table_run
A28E,5,standalone,A28E,5,A28E,5,1,0x04,table_run
87B6,5,standalone,87B6,5,87B6,5,1,0x04,table_run
8787,5,standalone,8787,5,8787,5,1,0x04,table_run
8785,5,standalone,8785,5,8785,5,1,0x04,table_run
9514,5,secondary,94EA,5,94EA,5,1,0x04,table_run
9090,5,standalone,9090,5,9090,5,1,0x04,table_run
9095,5,secondary,9083,5,9083,5,1,0x04,table_run
9695,5,standalone,9695,5,9695,5,1,0x04,table_run
9990,5,standalone,9990,5,9990,5,1,0x04,table_run
9999,5,standalone,9999,5,9999,5,1,0x04,table_run
9700,5,secondary,9483,5,9483,5,1,0x04,table_run
B7A7,5,standalone,B7A7,5,B7A7,5,1,0x04,table_run
9500,5,secondary,94EA,5,94EA,5,1,0x04,table_run
B5A5,5,standalone,B5A5,5,B5A5,5,1,0x04,table_run
B0B5,5,secondary,AFF1,5,AFF1,5,1,0x04,table_run
B099,5,standalone,B099,5,B099,5,4,0x05,control|table_run
A900,5,secondary,99A0,5,99A0,5,1,0x04,table_run
9941,5,standalone,9941,5,9941,5,1,0x04,table_run
A560,5,secondary,9483,5,9483,5,1,0x04,table_run
